Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Female,18,67,150,Slightly overweight,,
Male,17,67,140,About the right weight,,
Female,16,67,100,Slightly underweight,,
Female,18,62,185,Slightly overweight,,
Male,17,66,145,Slightly overweight,,
Female,17,62,140,Slightly overweight,,
Male,16,69,183,Slightly overweight,,
Female,18,68,140,Slightly overweight,,
Male,17,71,175,About the right weight,,
Male,15,66,108,Slightly underweight,,
Female,17,64,123,About the right weight,,
Male,18,66,215,Slightly overweight,,
Male,15,62,128,About the right weight,,
Female,17,59,91,About the right weight,,
Male,17,73,198,Slightly underweight,,
Female,18,59,175,Slightly overweight,,
Male,17,67,145,Slightly underweight,,
Male,15,64,118,About the right weight,,
Male,19,71,150,Slightly underweight,,
Male,17,71,125,About the right weight,,
Male,17,69,180,About the right weight,,
Female,16,59,94,Slightly underweight,,
Male,15,74,160,Slightly underweight,,
Female,16,63,190,Slightly overweight,,
Male,19,65,145,About the right weight,,
Male,18,69,160,About the right weight,,
Female,16,66,130,About the right weight,,
Female,17,63,120,About the right weight,,
Male,17,65,125,Very underweight,,
Female,18,68,124,About the right weight,,
Female,18,64,135,About the right weight,,
Female,15,64,98,About the right weight,,
Male,16,66,150,Slightly overweight,,
Female,19,67,160,Slightly overweight,,
Female,18,67,140,About the right weight,,
Male,19,71,170,About the right weight,,
Female,16,60,109,Slightly overweight,,
Male,16,68,170,Slightly overweight,,
Female,18,63,165,About the right weight,,
Male,18,67,147,About the right weight,,
Female,16,63,110,About the right weight,,
Male,15,68,160,Slightly underweight,,
Female,17,60,125,Slightly overweight,,
Female,16,66,142,Slightly overweight,,
Female,17,65,154,About the right weight,,
Female,16,62,119,About the right weight,,
Male,19,65,135,About the right weight,,
Male,16,69,195,Slightly overweight,,
Female,15,63,110,About the right weight,,
Female,15,63,140,Slightly overweight,,
Female,18,64,219,Very overweight,,
Female,17,66,135,About the right weight,,
Male,17,66,140,About the right weight,,
Male,16,68,135,About the right weight,,
Female,18,68,-1,Very overweight,,
Male,15,64,100,About the right weight,,
Female,16,62,135,About the right weight,,
Male,19,74,200,About the right weight,,
Female,15,63,150,Slightly underweight,,
Male,19,69,163,About the right weight,,
Male,15,71,116,About the right weight,,
Male,19,68,145,About the right weight,,
Male,19,71,140,About the right weight,,
Male,18,68,125,About the right weight,,
Female,18,66,130,Slightly overweight,,
Male,17,72,157,About the right weight,,
Male,20,68,200,Slightly overweight,,
Female,17,61,110,About the right weight,,
Male,15,64,165,Slightly overweight,,
Male,16,70,115,About the right weight,,
Male,17,67,153,About the right weight,,
Male,17,65,135,About the right weight,,
Female,14,62,116,About the right weight,,
Female,18,63,122,Slightly underweight,,
Male,15,66,130,About the right weight,,
Male,18,73,180,Slightly underweight,,
Female,15,66,110,About the right weight,,
Male,15,69,190,Slightly overweight,,
Male,18,68,160,About the right weight,,
Female,15,62,115,About the right weight,,
Male,15,66,130,Slightly overweight,,
Female,19,64,110,About the right weight,,
Male,15,70,150,Slightly overweight,,
Male,18,72,185,Slightly underweight,,
Male,17,70,175,About the right weight,,
Male,18,66,200,Slightly overweight,,
Female,17,68,180,Slightly overweight,,
Male,16,62,135,About the right weight,,
Male,16,63,120,Very underweight,,
Female,19,63,134,About the right weight,,
Male,17,72,185,About the right weight,,
Male,19,72,160,Slightly underweight,,
Male,17,68,160,Slightly underweight,,
Female,18,65,143,Slightly overweight,,
Female,18,68,180,Slightly overweight,,
Female,17,65,130,Very overweight,,
Female,16,65,200,Slightly overweight,,
Female,19,65,195,Slightly overweight,,
Male,16,66,160,About the right weight,,
Male,18,70,195,Slightly overweight,,
Female,17,63,120,About the right weight,,
Male,15,69,120,About the right weight,,
Female,17,64,110,About the right weight,,
Female,15,67,140,About the right weight,,
Female,18,66,104,Slightly underweight,,
Female,15,63,125,About the right weight,,
Male,15,71,140,Slightly underweight,,
Female,17,68,190,Slightly overweight,,
Female,15,65,125,About the right weight,,
Male,15,66,125,About the right weight,,
Male,15,64,125,About the right weight,,
Male,17,72,245,Very overweight,,
Male,15,74,235,Slightly overweight,,
Female,15,62,130,Slightly overweight,,
Male,18,68,135,Slightly underweight,,
Female,17,62,120,About the right weight,,
Female,17,63,155,Slightly overweight,,
Female,19,65,130,Slightly overweight,,
Female,18,64,130,Slightly overweight,,
Male,19,74,200,Slightly overweight,,
Male,16,70,145,Slightly underweight,,
Male,17,68,140,Slightly overweight,,
Male,15,69,135,Slightly underweight,,
Female,16,61,124,Slightly overweight,,
Female,19,66,125,About the right weight,,
Male,15,76,216,Slightly overweight,,
Female,15,66,120,About the right weight,,
Female,20,62,103,Slightly underweight,,
Female,18,65,162,Slightly overweight,,
Male,18,69,165,About the right weight,,
Male,17,73,164,About the right weight,,
Male,15,70,153,About the right weight,,
Male,15,75,172,About the right weight,,
Female,15,58,103,About the right weight,,
Female,17,63,135,About the right weight,,
Female,16,68,160,Slightly overweight,,
Male,15,69,141,About the right weight,,
Female,18,67,145,About the right weight,,
Male,17,68,148,About the right weight,,
Female,19,67,180,Slightly overweight,,
Male,19,70,150,Slightly underweight,,
Male,17,70,160,About the right weight,,
Female,17,60,170,Very overweight,,
Male,14,70,210,About the right weight,,
Female,20,66,175,Very overweight,,
Female,19,64,130,About the right weight,,
Male,17,72,172,Slightly underweight,,
Female,18,64,108,Slightly underweight,,
Male,19,72,190,About the right weight,,
Female,17,66,142,Slightly overweight,,
Male,15,69,235,Very overweight,,
Male,18,72,145,Slightly underweight,,
Female,16,66,-2,Very overweight,,
Female,15,70,-2,Very overweight,,
Female,15,64,110,About the right weight,,
Male,17,70,196,About the right weight,,
Female,18,65,118,About the right weight,,
Male,17,72,200,Slightly overweight,,
Female,19,61,145,Slightly overweight,,
Female,19,63,110,About the right weight,,
Female,18,65,115,Slightly underweight,,
Male,16,70,170,Slightly overweight,,
Female,17,66,160,Slightly overweight,,
Female,15,62,123,About the right weight,,
Female,18,65,135,Slightly overweight,,
Male,15,68,140,About the right weight,,
Male,18,65,160,About the right weight,,
Female,16,60,150,Slightly overweight,,
Male,16,72,168,About the right weight,,
Female,19,61,100,Slightly underweight,,
Female,15,62,100,About the right weight,,
Male,16,66,135,About the right weight,,
Male,17,67,155,Slightly overweight,,
Female,17,62,135,About the right weight,,
Female,19,64,200,Very overweight,,
Male,16,66,140,Slightly underweight,,
Female,19,62,185,Slightly overweight,,
Male,17,65,125,Slightly underweight,,
Male,19,72,165,About the right weight,,
Female,15,64,95,Slightly underweight,,
Male,17,72,155,About the right weight,,
Female,15,65,110,About the right weight,,
Female,18,67,165,Slightly overweight,,
Female,15,65,132,Slightly overweight,,
Male,17,66,125,Slightly overweight,,
Female,18,64,120,About the right weight,,
Female,15,63,130,Slightly overweight,,
Male,16,66,130,Slightly underweight,,
Male,15,63,115,About the right weight,,
Female,19,59,160,About the right weight,,
Male,19,64,150,About the right weight,,
Female,17,64,130,About the right weight,,
Female,17,61,120,Slightly overweight,,
Male,18,66,150,Slightly overweight,,
Female,19,66,250,Very overweight,,
Male,16,71,150,Slightly overweight,,
Male,17,70,180,Slightly overweight,,
Male,15,69,210,Slightly overweight,,
Female,15,61,105,Slightly underweight,,
Male,18,64,140,About the right weight,,
Male,18,63,130,About the right weight,,
Female,17,64,130,About the right weight,,
Male,19,71,210,Slightly overweight,,
Female,18,63,132,About the right weight,,
Female,20,67,-2,Very underweight,,
Male,15,70,125,About the right weight,,
Female,15,66,110,Slightly underweight,,
Male,15,65,125,About the right weight,,
Male,19,67,167,About the right weight,,
Male,15,67,140,About the right weight,,
Male,19,69,130,Slightly underweight,,
Female,16,65,122,About the right weight,,
Female,18,64,113,About the right weight,,
Female,15,60,108,Slightly overweight,,
Male,17,66,120,Slightly underweight,,
Female,18,60,130,Slightly overweight,,
Male,19,70,180,About the right weight,,
Female,16,60,105,Slightly overweight,,
Female,16,61,120,About the right weight,,
Male,15,69,170,About the right weight,,
Female,16,65,122,About the right weight,,
Male,16,67,145,About the right weight,,
Female,15,69,132,About the right weight,,
Male,19,70,155,About the right weight,,
Male,17,70,160,About the right weight,,
Female,16,67,105,About the right weight,,
Male,17,64,120,Slightly overweight,,
Female,15,61,102,About the right weight,,
Female,15,61,110,About the right weight,,
Male,18,71,140,Slightly underweight,,
Female,16,70,140,About the right weight,,
Male,19,71,-2,About the right weight,,
Male,15,68,-2,About the right weight,,
Male,16,72,130,About the right weight,,
Male,18,71,155,Slightly underweight,,
Male,19,72,190,About the right weight,,
Male,16,68,130,About the right weight,,
Male,19,73,140,Very underweight,,
Male,16,66,140,About the right weight,,
Male,17,69,136,About the right weight,,
Male,16,67,130,About the right weight,,
Female,19,67,135,About the right weight,,
Female,18,65,131,About the right weight,,
Male,17,69,142,About the right weight,,
Female,18,64,120,Slightly overweight,,
Female,15,67,-2,Slightly overweight,,
Female,17,63,117,About the right weight,,
Female,17,59,210,Very overweight,,
Female,16,66,130,About the right weight,,
Male,18,66,-2,About the right weight,,
Female,17,63,90,Slightly underweight,,
Male,15,65,120,About the right weight,,
Male,19,72,170,Slightly overweight,,
Male,18,71,160,About the right weight,,
Male,16,71,165,About the right weight,,
Male,14,67,135,About the right weight,,
Male,19,66,120,Slightly underweight,,
Male,15,65,110,Slightly underweight,,
Female,18,64,135,About the right weight,,
Male,18,72,-2,Very underweight,,
Female,15,63,140,Slightly overweight,,
Male,19,69,180,Slightly overweight,,
Female,16,64,-1,Slightly overweight,,
Female,15,61,-1,Slightly overweight,,
Female,15,62,110,Slightly overweight,,
Female,19,67,-2,Slightly overweight,,
Female,15,67,-1,Slightly overweight,,
Female,16,64,120,About the right weight,,
Male,17,72,180,About the right weight,,
Female,15,60,-1,Slightly overweight,,
Female,17,61,110,About the right weight,,
Male,15,65,150,About the right weight,,
Female,16,65,150,About the right weight,,
Female,15,64,105,Slightly underweight,,
Female,18,63,120,Slightly underweight,,
Female,16,64,140,About the right weight,,
Female,19,68,155,About the right weight,,
Male,16,70,180,Slightly overweight,,
Female,16,59,110,About the right weight,,
Female,19,69,-1,Slightly overweight,,
Female,19,63,125,About the right weight,,
Male,18,66,160,About the right weight,,
Female,18,66,-1,Slightly overweight,,
Female,17,63,125,About the right weight,,
Male,17,64,150,About the right weight,,
Female,17,65,135,About the right weight,,
Female,18,68,135,About the right weight,,
Male,15,74,180,Slightly overweight,,
Female,17,64,116,About the right weight,,
Male,17,66,160,Slightly overweight,,
Female,19,65,140,Slightly overweight,,
Male,16,68,130,About the right weight,,
Female,17,66,165,Slightly overweight,,
Male,18,73,195,Slightly overweight,,
Female,17,60,90,Slightly overweight,,
Male,19,74,160,Slightly underweight,,
Male,19,75,200,Slightly underweight,,
Male,15,64,135,Slightly overweight,,
Female,19,64,115,Slightly overweight,,
Female,17,62,113,About the right weight,,
Male,15,65,113,Slightly underweight,,
Male,16,72,150,About the right weight,,
Female,19,62,120,About the right weight,,
Male,19,62,110,Slightly underweight,,
Female,17,63,98,About the right weight,,
Female,15,66,113,Slightly overweight,,
Female,19,68,-2,Slightly overweight,,
